Puesto Institucional,Grado jerarquico o escala al que pertenece el puesto,Remuneracion mensual unificada,Remuneracion unificada (anual),Decimo Tercera Remuneracion,Decima Cuarta Remuneracion,Horas suplementarias y extraordinarias,Encargos y subrogaciones,Total ingresos adicionales
INGENIERO DE SOPORTE DE OPERACIONES Y COMPLETACIÓN  ( S ),4,1560,18720,138.67,31.25,104,0,273.92
INGENIERO DE OPERACIONES Y COMPLETACIÓN ( E ),5,1999,23988,180.47,31.25,166.59,216,594.31
INGENIERO DE OPERACIONES Y COMPLETACIÓN ( E ),5,1920,23040,160,31.25,0,295,486.25
INGENIERO DE CONFIABILIDAD,5,4481,53772,373.42,31.25,0,0,404.67
SUPERINTENDENTE DE CONSTRUCCIONES,6,5608,67296,467.33,31.25,0,0,498.58
OPERADOR DE PLANTA,3,1671,20052,150.42,31.25,134.05,0,315.72
GERENTE COORDINADOR DE RESPONSABILIDAD SOCIAL E INTEGRAL ( E ),7,6400,76800,533.33,31.25,0,-496,68.58
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN,3,2000,24000,166.67,31.25,0,0,197.92
SUPERVISOR DE CONSTRUCCIONES,5,3850,46200,350.24,31.25,352.92,0,734.41
INGENIERO DE OPERACIONES Y COMPLETACIÓN,5,2500,30000,279.27,31.25,851.3,0,1161.82
GERENTE DE DESARROLLO Y OPTIMIZACIÓN ( E ),7,2953,35436,246.08,31.25,0,1225.93,1503.26
COORDINADOR DE CONTRATOS,5,3829,45948,332.38,31.25,159.55,0,523.18
COORDINADOR GENERAL DE SERVICIOS Y PRESUPUESTOS ( E ),6,1999,23988,166.58,31.25,0,1272,1469.83
SUPERINTENDENTE DE CONSTRUCCIONES ( E ),6,4200,50400,350,31.25,0,161,542.25
SUPERVISOR DE REACONDICIONAMIENTO,5,2900,34800,251.23,31.25,114.8,0,397.28
OPERADOR DE PLANTA,3,2037,24444,209.71,31.25,479.54,0,720.5
SUPERVISOR MECÁNICO ( E ),5,2288,27456,190.67,31.25,0,311,532.92
OPERADOR DE ISLA,3,1015,12180,105.73,31.25,253.74,0,390.72
OPERADOR DE PLANTA,3,1405,16860,144.65,31.25,330.76,0,506.66
OPERADOR DE ISLA,3,1015,12180,101.32,31.25,200.88,0,333.45
INGENIERO DE AUTOMATIZACIÓN ( E ),5,2500,30000,208.33,31.25,0,453,692.58
OPERADOR DE PLANTA DE GENERACIÓN,3,2288,27456,214.7,31.25,288.39,0,534.34
SUPERINTENDENTE DE OPERACIONES,6,4967,59604,413.92,31.25,0,0,445.17
SUPERINTENDENTE DE RCRS ( E ),6,3610,43320,300.83,31.25,0,751,1083.08
OPERADOR DE PLANTA,3,1405,16860,144.65,31.25,330.76,0,506.66
SUPERINTENDENTE DE MANTENIMIENTO,6,5250,63000,437.5,31.25,0,0,468.75
SUPERVISOR DE INSTRUMENTACIÓN,5,2880,34560,240,31.25,0,0,271.25
OPERADOR DE ISLA,3,1015,12180,87.75,31.25,38.06,0,157.06
INGENIERO DE OPERACIONES Y COMPLETACIÓN,5,2670,32040,263.29,31.25,489.5,0,784.04
SUPERINTENDENTE DE MANTENIMIENTO,6,5450,65400,454.17,31.25,0,0,485.42
ESTIBADOR,1,709,8508,76.29,31.25,206.5,0,314.04
OPERADOR DE PLANTA DE GENERACIÓN,3,1770,21240,170.39,31.25,274.73,0,476.37
SUPERINTENDENTE DE CONSTRUCCIONES ( E ),6,4200,50400,350,31.25,0,161,542.25
OPERADOR DE ISLA,3,1015,12180,104.5,31.25,238.94,0,374.69
INGENIERO DE AUTOMATIZACIÓN,5,2950,35400,245.83,31.25,0,0,277.08
CONSTRUCTOR COMUNITARIO,4,2215,26580,184.58,31.25,0,0,215.83
TÉCNICO MECÁNICO,3,1400,16800,122.97,31.25,75.68,0,229.9
ASISTENTE DE PROGRAMAS,2,929,11148,77.42,31.25,0,0,108.67
MENSAJERO,1,710,8520,59.17,31.25,0,0,90.42
SUPERVISOR DE SEGURIDAD Y AMBIENTE,5,3417,41004,284.75,31.25,0,0,316
OPERADOR DE ISLA,3,1015,12180,99.65,31.25,180.79,0,311.69
ASISTENTE DE OPERACIONES,2,1510,18120,125.83,31.25,0,0,157.08
CONDUCTOR,5,745,8940,88.47,31.25,316.62,0,436.34
OPERADOR DE ISLA,3,1015,12180,104.5,31.25,238.94,0,374.69
SUPERVISOR DE PRODUCCIÓN ( E ),5,1405,16860,154.16,31.25,444.92,810,1440.33
OPERADOR DE PLANTA,3,2037,24444,209.71,31.25,479.54,0,720.5
INGENIERO DE OPERACIONES Y COMPLETACIÓN,5,2670,32040,254.02,31.25,378.25,0,663.52
SUPERINTENDENTE DE OPERACIONES,6,4967,59604,413.92,31.25,0,0,445.17
ADMINISTRADOR DE INVENTARIO ( E ),3,1300,15600,108.33,31.25,0,54,193.58
SUPERVISOR DE PRODUCCIÓN,5,2880,34560,244,31.25,48,0,323.25
OPERADOR DE ISLA,3,1015,12180,94.54,31.25,119.47,0,245.26
TÉCNICO INSTRUMENTISTA,3,1300,15600,110.7,31.25,28.44,0,170.39
COORDINADOR AMBIENTAL,5,3000,36000,250,31.25,0,0,281.25
SUPERINTENDENTE DE OPERACIONES,6,5493,65916,457.75,31.25,0,0,489
JEFE DE CAMPO,7,6100,73200,508.33,31.25,0,0,539.58
GERENTE DE ACTIVO,7,6200,74400,516.67,31.25,0,0,547.92
SUPERVISOR RCRS,5,3585,43020,298.75,31.25,0,0,330
OPERADOR DE ISLA,3,1015,12180,111.28,31.25,320.35,0,462.88
OPERADOR DE ISLA,3,1015,12180,94.54,31.25,119.47,0,245.26
SUPERVISOR DE PRODUCCIÓN ( E ),5,2037,24444,185.31,31.25,186.73,178,581.29
SUPERINTENDENTE DE MANTENIMIENTO,6,5450,65400,454.17,31.25,0,0,485.42
OPERADOR DE ISLA,3,1015,12180,99.65,31.25,180.79,0,311.69
INGENIERO DE OPERACIONES ( E ),5,1920,23040,164,31.25,48,295,538.25
CONDUCTOR,5,745,8940,62.08,31.25,0,0,93.33
ADMINISTRADOR DE INVENTARIO ( E ),3,1096,13152,91.33,31.25,0,258,380.58
INGENIERO DE SOPORTE DE AUTOMATIZACIÓN ( E ),4,2288,27456,190.67,31.25,0,0,221.92
SUPERVISOR DE CONSTRUCCIONES,5,3610,43320,300.83,31.25,0,0,332.08
TÉCNICO MECÁNICO,3,2288,27456,195.43,31.25,57.2,0,283.88
OPERADOR DE ISLA,3,1015,12180,101.85,31.25,207.22,0,340.32
SUPERVISOR DE REACONDICIONAMIENTO,5,2900,34800,241.67,31.25,0,0,272.92
OPERADOR DE PLANTA,3,1766,21192,170.01,31.25,274.11,0,475.37
SUPERVISOR DE PRODUCCIÓN,5,2689,32268,276.37,31.25,627.44,0,935.06
OPERADOR DE ISLA,3,1015,12180,107.4,31.25,273.83,0,412.48
INGENIERO DE AUTOMATIZACIÓN,5,2950,35400,245.83,31.25,0,0,277.08
SUPERINTENDENTE DE RCRS ( E ),6,3610,43320,300.83,31.25,0,751,1083.08
SUPERVISOR RCRS ( E ),5,2279,27348,189.92,31.25,0,191,412.17
OPERADOR DE PLANTA,3,2037,24444,223.33,31.25,642.92,0,897.5
AUXILIAR DE SERVICIOS GENERALES,1,596,7152,49.67,31.25,0,0,80.92
OPERADOR DE ISLA,3,1015,12180,94.54,31.25,119.47,0,245.26
SUPERINTENDENTE DE OPERACIONES,6,4967,59604,413.92,31.25,0,0,445.17
SUPERVISOR DE PRODUCCIÓN,5,2953,35436,274.79,31.25,344.52,0,650.56
SUPERVISOR DE REACONDICIONAMIENTO,5,2343,28116,221.28,31.25,312.41,0,564.94
GERENTE DE ACTIVO ( E ),7,6120,73440,510,31.25,0,432,973.25
AUXILIAR DE PROYECTOS,1,596,7152,49.67,31.25,0,0,80.92
OPERADOR DE PLANTA DE GENERACIÓN,3,1015,12180,94.54,31.25,119.47,0,245.26
OPERADOR DE PLANTA,3,2037,24444,205.82,31.25,432.86,0,669.93
BODEGUERO,2,1088,13056,90.67,31.25,0,0,121.92
SUPERVISOR DE REACONDICIONAMIENTO,5,5067,60804,422.25,31.25,0,0,453.5
SUPERINTENDENTE DE OPERACIONES  ( S ),6,2215,26580,184.58,31.25,0,3035,3250.83
OPERADOR DE ISLA,3,1015,12180,104.5,31.25,238.94,0,374.69
ADMINISTRADOR DE INVENTARIO ( E ),3,1230,14760,102.5,31.25,0,124,257.75
SUPERVISOR DE PRODUCCIÓN ( E ),5,1405,16860,136.6,31.25,234.17,810,1212.02
OPERADOR DE ISLA,3,1015,12180,104.5,31.25,238.94,0,374.69
CONDUCTOR,5,745,8940,80.71,31.25,223.5,0,335.46
OPERADOR DE ISLA,3,1015,12180,99.65,31.25,180.79,0,311.69
OPERADOR DE ISLA,3,1015,12180,102.82,31.25,218.85,0,352.92
ESPECIALISTA DE TI,4,1999,23988,166.58,31.25,0,0,197.83
OPERADOR DE ISLA,3,1015,12180,104.5,31.25,238.94,0,374.69
JEFE DE CAMPO,7,6100,73200,508.33,31.25,0,0,539.58
OPERADOR DE ISLA,3,1015,12180,91.37,31.25,81.41,0,204.03
COORDINADOR DE IMPORTACIONES,5,2575,30900,214.58,31.25,0,0,245.83
OPERADOR DE PLANTA DE GENERACIÓN,3,1015,12180,94.54,31.25,119.47,0,245.26
TÉCNICO INSTRUMENTISTA,3,1015,12180,84.58,31.25,0,0,115.83
SUPERVISOR DE PRODUCCIÓN,5,2953,35436,291.2,31.25,541.4,0,863.85
SUPERVISOR DE INSTRUMENTACIÓN,5,3004,36048,250.33,31.25,0,0,281.58
OPERADOR DE PLANTA,3,1405,16860,135.26,31.25,218.07,0,384.58
OPERADOR DE ISLA,3,1015,12180,91.37,31.25,81.41,0,204.03
OPERADOR DE PLANTA,3,2037,24444,196.1,31.25,316.16,0,543.51
SUPERVISOR DE PLANTA DE GENERACIÓN ( E ),5,2288,27456,190.67,31.25,0,311,532.92
TÉCNICO MECÁNICO,3,1015,12180,84.58,31.25,0,0,115.83
SUPERINTENDENTE DE OPERACIONES,6,4967,59604,413.92,31.25,0,0,445.17
SUPERVISOR DE PLANTA DE GENERACIÓN ( E ),5,2288,27456,190.67,31.25,0,311,532.92
TÉCNICO ELÉCTRICO,3,2273,27276,189.42,31.25,0,0,220.67
SUPERVISOR MECÁNICO,5,2965,35580,247.08,31.25,0,0,278.33
OPERADOR DE ISLA,3,1405,16860,141.96,31.25,298.56,0,471.77
INGENIERO DE LEVANTAMIENTO ARTIFICIAL,5,2600,31200,216.67,31.25,0,0,247.92
TÉCNICO ELÉCTRICO PLANTA DE GENERACIÓN,3,2273,27276,189.42,31.25,0,0,220.67
JEFE DE CAMPO,7,5450,65400,454.17,31.25,0,650,1135.42
JEFE DE LOGÍSTICA Y MATERIALES  ( S ),7,916,10992,76.33,31.25,0,5284,5391.58
SUPERVISOR DE PLANTA DE GENERACIÓN ( E ),5,2288,27456,190.67,31.25,0,311,532.92
SUPERVISOR DE PRODUCCIÓN,5,2561,30732,281,31.25,810.99,0,1123.24
ADMINISTRADOR DE CAMPO,4,2087,25044,173.92,31.25,0,0,205.17
INGENIERO CIVIL,5,2953,35436,246.08,31.25,0,0,277.33
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN,3,2225,26700,185.42,31.25,0,0,216.67
SUPERVISOR ADMINISTRATIVO,5,2970,35640,247.5,31.25,0,0,278.75
RELACIONADOR COMUNITARIO,4,2606,31272,217.17,31.25,0,0,248.42
OPERADOR DE ISLA,3,1450,17400,127.76,31.25,83.07,0,242.08
SUPERVISOR RCRS,5,3300,39600,275,31.25,0,0,306.25
JEFE DE RELACIONES COMUNITARIAS Y RESPONSABILIDAD SOCIAL  ( S ),6,3300,39600,275,31.25,0,3100,3406.25
RESERVORISTA,5,2953,35436,246.08,31.25,0,0,277.33
SUPERVISOR RCRS,5,3585,43020,298.75,31.25,0,0,330
OPERADOR DE ISLA,3,1405,16860,126.47,31.25,112.69,0,270.41
SUPERVISOR DE PRODUCCIÓN ( E ),5,1405,16860,137.57,31.25,245.88,810,1224.7
COORDINADOR DE SERVICIOS GENERALES ( E ),5,2250,27000,200.39,31.25,154.69,220,606.33
COORDINADOR DE GESTIÓN SOCIAL,5,3700,44400,308.33,31.25,0,0,339.58
ANALISTA PROMOTOR LABORAL,3,1150,13800,95.83,31.25,0,0,127.08
ANALISTA DE CONTRATOS,3,1800,21600,150,31.25,0,0,181.25
RELACIONADOR COMUNITARIO,4,2279,27348,189.92,31.25,0,0,221.17
ADMINISTRADOR DE INVENTARIO ( E ),3,1088,13056,90.67,31.25,0,266,387.92
SUPERVISOR DE REACONDICIONAMIENTO,5,2200,26400,217.32,31.25,407.89,0,656.46
SUPERINTENDENTE DE CONSTRUCCIONES,6,5100,61200,425,31.25,0,0,456.25
ASISTENTE ADMINISTRATIVO,2,1212,14544,101,31.25,0,0,132.25
OPERADOR DE PLANTA,3,1411,16932,125.67,31.25,97.01,0,253.93
ESPECIALISTA DE SEGURIDAD,4,2561,30732,213.42,31.25,0,0,244.67
ADMINISTRADOR DE INVENTARIO ( E ),3,1088,13056,90.67,31.25,0,266,387.92
COORDINADOR DE INFRAESTRUCTURA DE TI,5,2953,35436,246.08,31.25,0,0,277.33
OPERADOR DE PLANTA,3,1500,18000,151.56,31.25,318.75,0,501.56
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN,3,2273,27276,189.42,31.25,0,0,220.67
COORDINADOR GENERAL DE CAMPO ( E ),5,1999,23988,166.58,31.25,0,1272,1469.83
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN,3,1350,16200,112.5,31.25,0,0,143.75
SUPERVISOR DE SEIP,5,3391,40692,282.58,31.25,0,0,313.83
TÉCNICO ELÉCTRICO,3,1354,16248,112.83,31.25,0,0,144.08
SUPERINTENDENTE DE CONSTRUCCIONES ( E ),6,3433,41196,286.08,31.25,0,928,1245.33
COORDINADOR DE REACONDICIONAMIENTO,5,2900,34800,241.67,31.25,0,0,272.92
INGENIERO DE OPERACIONES,5,2900,34800,241.67,31.25,0,0,272.92
ANALISTA DE CONTROL DE COSTOS,3,1844,22128,153.67,31.25,0,0,184.92
TÉCNICO DE OPERACIONES  ( S ),4,1500,18000,125,31.25,0,811,967.25
ASISTENTE ADMINISTRATIVO,2,827,9924,68.92,31.25,0,0,100.17
INGENIERO DE GESTIÓN DE ACTIVOS ( E ),5,1680,20160,140,31.25,0,535,706.25
ESPECIALISTA DE EJECUCIÓN Y CONTROL,4,2200,26400,183.33,31.25,0,0,214.58
INGENIERO DE OPERACIONES Y COMPLETACIÓN ( E ),5,1815,21780,170.16,31.25,226.89,400,828.3
INGENIERO DE GESTIÓN DE ACTIVOS ( E ),5,1800,21600,150,31.25,0,415,596.25
SUPERVISOR DE SEGURIDAD Y AMBIENTE ( E ),5,2349,28188,195.75,31.25,0,121,348
ESPECIALISTA DE TI,4,2640,31680,220,31.25,0,0,251.25
TÉCNICO OVERHAUL,3,2273,27276,192.38,31.25,35.52,0,259.15
SUPERVISOR DE INSTRUMENTACIÓN,5,2880,34560,240,31.25,0,0,271.25
INGENIERO DE AUTOMATIZACIÓN,5,2950,35400,245.83,31.25,0,0,277.08
SUPERVISOR DE PLANTA DE GENERACIÓN ( E ),5,2288,27456,190.67,31.25,0,311,532.92
INGENIERO DE CONSTRUCCIÓN,5,3430,41160,285.83,31.25,0,0,317.08
SUPERVISOR DE SEGURIDAD Y AMBIENTE ( E ),5,2200,26400,183.33,31.25,0,15,229.58
ESPECIALISTA TECNICO SIL,4,1499,17988,124.92,31.25,0,0,156.17
ANALISTA DE ORIENTACION LABORAL,3,1096,13152,91.33,31.25,0,0,122.58
ANALISTA PROMOTOR LABORAL,3,929,11148,77.42,31.25,0,0,108.67
ANALISTA DE ABOGACIA,3,1096,13152,91.33,31.25,0,0,122.58
ANALISTA DE ORIENTACION LABORAL,3,1096,13152,91.33,31.25,0,0,122.58
ANALISTA DE ORIENTACION LABORAL,3,929,11148,77.42,31.25,0,0,108.67
INGENIERO DE OPERACIONES  ( S ),5,2900,34800,287.99,31.25,555.83,0,875.07
SUPERINTENDENTE DE MANTENIMIENTO,6,4361,52332,555.49,31.25,0,0,586.74
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN,3,1500,18000,132.8,31.25,93.6,0,257.65
OPERADOR DE PLANTA,3,1754,21048,168.85,31.25,272.25,0,472.35
INGENIERO DE SOPORTE DE OPERACIONES Y COMPLETACIÓN,4,1999,23988,189.14,31.25,270.7,0,491.09
SUPERVISOR MECÁNICO ( E ),5,1400,16800,116.67,31.25,0,815,962.92
JEFE ZONAL DE CONSTRUCCIONES,6,4967,59604,413.92,31.25,0,0,445.17
COORDINADOR DE CONTROL DE ACTIVOS,5,2600,31200,216.67,31.25,0,0,247.92
ANALISTA DE CONTROL DE ACTIVOS,3,1310,15720,109.17,31.25,0,0,140.42
INGENIERO DE RIESGOS ( E ),5,1754,21048,146.17,31.25,0,461,638.42
OPERADOR DE ISLA,3,1405,16860,155.75,31.25,463.95,0,650.95
JEFE DE INGENIERÍA,6,4361,52332,561.78,31.25,2380.36,0,2973.39
SUPERVISOR DE SEGURIDAD Y AMBIENTE ( E ),5,2300,27600,191.67,31.25,0,170,392.92
SUPERVISOR DE SEGURIDAD Y AMBIENTE ( E ),5,2230,26760,185.83,31.25,0,240,457.08
OPERADOR DE ISLA,3,1411,16932,127.01,31.25,113.17,0,271.43
OPERADOR DE PLANTA,3,1742,20904,162.25,31.25,205.05,0,398.55
TÉCNICO MECÁNICO,3,1460,17520,121.67,31.25,0,0,152.92
ANALISTA DE CONTROL DE COSTOS,3,1560,18720,130,31.25,0,0,161.25
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN,3,1907,22884,222.48,31.25,762.8,0,1016.53
OPERADOR DE PLANTA DE GENERACIÓN,3,1015,12180,94.54,31.25,119.47,0,245.26
TÉCNICO MECÁNICO,3,1250,15000,104.17,31.25,0,0,135.42
ESPECIALISTA DE CONTRATOS,4,1999,23988,166.58,31.25,0,0,197.83
ESPECIALISTA DE SERVICIOS Y SUMINISTROS ( E ),4,1541,18492,128.42,31.25,0,458,617.67
ANALISTA DE CONTROL DE ACTIVOS,3,1408,16896,117.33,31.25,0,0,148.58
SUPERVISOR DE REACONDICIONAMIENTO,5,3360,40320,280,31.25,0,0,311.25
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN,3,1754,21048,146.17,31.25,0,0,177.42
ESPECIALISTA DE TI,4,1999,23988,166.58,31.25,0,0,197.83
INGENIERO DE LEVANTAMIENTO ARTIFICIAL,5,2600,31200,216.67,31.25,0,0,247.92
OPERADOR DE PLANTA,3,1500,18000,144.4,31.25,232.81,0,408.46
INGENIERO DE OPERACIONES ( E ),5,1999,23988,166.58,31.25,0,216,413.83
COORDINADOR DE MATERIALES,5,2660,31920,221.67,31.25,0,0,252.92
JEFE SERVICIOS GENERALES ( E ),6,2682,32184,223.5,31.25,0,1499,1753.75
OPERADOR DE ISLA,3,1375,16500,126.4,31.25,141.8,0,299.45
OPERADOR DE ISLA,3,1500,18000,133.59,31.25,103.13,0,267.97
ESPECIALISTA DE TI,4,1999,23988,166.58,31.25,0,0,197.83
OPERADOR DE ISLA,3,1500,18000,136.46,31.25,137.5,0,305.21
TÉCNICO INSTRUMENTISTA,3,1742,20904,145.17,31.25,0,0,176.42
INGENIERO DE SOPORTE DE CONFIABILIDAD ( E ),4,2257,27084,188.08,31.25,0,0,219.33
INGENIERO DE CORROSIÓN Y QUÍMICOS,5,3674,44088,306.17,31.25,0,0,337.42
OPERADOR DE ISLA,3,1411,16932,117.58,31.25,0,0,148.83
CONSTRUCTOR COMUNITARIO,4,2119,25428,176.58,31.25,0,0,207.83
SUPERVISOR RCRS,5,3300,39600,275,31.25,0,0,306.25
ESPECIALISTA DE TI,4,1999,23988,166.58,31.25,0,0,197.83
TÉCNICO INSTRUMENTISTA,3,1742,20904,145.17,31.25,0,0,176.42
OPERADOR DE PLANTA DE GENERACIÓN,3,1907,22884,197.65,31.25,464.83,0,693.73
COORDINADOR DE PROCESOS,5,2953,35436,246.08,31.25,0,0,277.33
INGENIERO DE SOPORTE DE CONSTRUCCIONES,4,1999,23988,166.58,31.25,0,0,197.83
RELACIONADOR COMUNITARIO,4,2241,26892,186.75,31.25,0,0,218
RELACIONADOR COMUNITARIO,4,2256,27072,188,31.25,0,0,219.25
OPERADOR DE PLANTA DE GENERACIÓN,3,1754,21048,146.17,31.25,0,0,177.42
SUPERVISOR ELÉCTRICO E INSTRUMENTACIÓN ( E ),5,1754,21048,146.17,31.25,0,461,638.42
INGENIERO DE GESTIÓN DE ACTIVOS ( E ),5,1754,21048,146.17,31.25,0,461,638.42
INGENIERO DE OPERACIONES Y COMPLETACIÓN,5,3360,40320,280,31.25,0,0,311.25
RELACIONADOR COMUNITARIO,4,2279,27348,189.92,31.25,0,0,221.17
OPERADOR DE ISLA,3,1400,16800,116.67,31.25,0,0,147.92
ASISTENTE DE LOGÍSTICA DE PERSONAL,2,1150,13800,95.83,31.25,0,0,127.08
TÉCNICO ELÉCTRICO PLANTA DE GENERACIÓN,3,1766,21192,155.12,31.25,95.47,0,281.84
SUPERVISOR DE SEIP ( E ),5,2263,27156,188.58,31.25,0,137,356.83
OPERADOR DE PLANTA,3,1296,15552,124.76,31.25,201.15,0,357.16
ESPECIALISTA DE CONTRATOS,4,2200,26400,183.33,31.25,0,0,214.58
INGENIERO DE RIESGOS,5,3720,44640,310,31.25,0,0,341.25
CONSTRUCTOR COMUNITARIO,4,2074,24888,172.83,31.25,0,0,204.08
ANALISTA DE RR.HH.,3,1215,14580,101.25,31.25,0,0,132.5
SUPERINTENDENTE DE CONSTRUCCIONES ( E ),6,3363,40356,280.25,31.25,0,798.4,1109.9
ASISTENTE DE CONTROL DE ACTIVOS ( E ),2,699,8388,72.81,31.25,174.75,217,495.81
TÉCNICO DE OPERACIONES,4,1620,19440,145.12,31.25,121.5,0,297.87
ANALISTA PROMOTOR LABORAL,3,962,11544,80.17,31.25,0,0,111.42
INGENIERO DE OPERACIONES Y COMPLETACIÓN ( E ),5,1964,23568,167.42,31.25,45.01,251,494.68
SUPERINTENDENTE DE MANTENIMIENTO (RODA),6,4361,52332,363.42,31.25,0,0,394.67
ANALISTA DE CONTROL DE GESTIÓN OPERATIVA ( E ),3,916,10992,76.33,31.25,0,434,541.58
ASISTENTE DE CONTROL DE COSTOS,2,1360,16320,113.33,31.25,0,0,144.58
INGENIERO DE OPERACIONES,5,2900,34800,241.67,31.25,0,0,272.92
INGENIERO DE INTEGRIDAD MECÁNICA,5,3275,39300,272.92,31.25,0,0,304.17
TÉCNICO INSTRUMENTISTA PLANTA DE GENERACIÓN,3,1754,21048,151.19,31.25,60.3,0,242.74
SUPERVISOR ELÉCTRICO ( E ),5,2288,27456,206.53,31.25,190.42,311,739.2
TÉCNICO DE CONSTRUCCIONES,3,1715,20580,142.92,31.25,0,0,174.17
TÉCNICO INSTRUMENTISTA PLANTA DE GENERACIÓN,3,1715,20580,142.92,31.25,0,0,174.17
SUPERVISOR AUTOMOTRIZ / MANTENIMIENTO,5,2470,29640,205.83,31.25,0,0,237.08
SUPERVISOR DE PRODUCCIÓN ( E ),5,1334,16008,111.17,31.25,0,881,1023.42
OPERADOR DE ISLA,3,1375,16500,123.77,31.25,110.29,0,265.31
OPERADOR DE ISLA,3,1334,16008,120.78,31.25,115.34,0,267.37
INGENIERO DE OPERACIONES Y COMPLETACIÓN ( E ),5,1999,23988,185.98,31.25,232.8,216,666.03
COORDINADOR DE SEGURIDAD GESTION DE RIESGOS Y CONVENIOS,5,3030,36360,252.5,31.25,0,0,283.75
INGENIERO DE CONTROL DE CALIDAD,5,3275,39300,272.92,31.25,0,0,304.17
OPERADOR DE PLANTA,3,2127,25524,202.18,31.25,299.11,0,532.54
OPERADOR DE PLANTA DE GENERACIÓN,3,1750,21000,163,31.25,205.99,0,400.24
TÉCNICO INSTRUMENTISTA PLANTA DE GENERACIÓN,3,2100,25200,175,31.25,0,0,206.25
SUPERVISOR ELÉCTRICO,5,2875,34500,239.58,31.25,0,0,270.83
COORDINADOR DE CONTROL DE COSTOS,6,2858,34296,238.17,31.25,0,0,269.42
SUPERINTENDENTE DE OPERACIONES,6,4800,57600,400,31.25,0,0,431.25
TÉCNICO ELÉCTRICO,3,1750,21000,145.83,31.25,0,0,177.08
TÉCNICO MECÁNICO,3,2097,25164,174.75,31.25,0,0,206
GERENTE COORDINADOR DE OPERACIONES ( E ),7,6200,74400,516.67,31.25,0,900,1447.92
RESERVORISTA,5,3000,36000,250,31.25,0,0,281.25
COORDINADOR DE GERENCIAMIENTO DE DATOS,5,3363,40356,280.25,31.25,0,0,311.5
RELACIONADOR COMUNITARIO,4,2200,26400,183.33,31.25,0,0,214.58
INGENIERO DE FACILIDADES,5,3200,38400,266.67,31.25,0,0,297.92
TÉCNICO MECÁNICO,3,1475,17700,129.56,31.25,79.74,0,240.55
ESPECIALISTA DE APLICACIONES TÉCNICAS,4,2649,31788,235.47,31.25,176.61,0,443.33
FISCALIZADOR RODA ( E ),5,1380,16560,132.25,31.25,207,835,1205.5
OPERADOR DE ISLA,3,2090,25080,194.67,31.25,246.02,0,471.94
COORDINADOR DE PRESUPUESTOS Y CONTROL DE COSTOS ( E ),4,2000,24000,166.67,31.25,0,71.67,269.59
SUPERINTENDENTE DE MANTENIMIENTO,6,4361,52332,363.42,31.25,0,0,394.67
OPERADOR DE PLANTA,3,1380,16560,128.54,31.25,162.44,0,322.23
TÉCNICO MECÁNICO,3,2305,27660,192.08,31.25,0,0,223.33
TÉCNICO MECÁNICO,3,1400,16800,116.67,31.25,0,0,147.92
SUPERINTENDENTE DE MANTENIMIENTO,6,5250,63000,437.5,31.25,0,0,468.75
SUPERVISOR ELÉCTRICO E INSTRUMENTACIÓN,5,2700,32400,225,31.25,0,0,256.25
OPERADOR DE PLANTA,3,1990,23880,185.35,31.25,234.24,0,450.84
FISCALIZADOR RODA ( E ),5,2020,24240,168.33,31.25,0,195,394.58
RELACIONADOR COMUNITARIO,4,2200,26400,183.33,31.25,0,0,214.58
SUPERINTENDENTE DE RCRS ( E ),6,4930,59160,410.83,31.25,0,0,442.08
ESPECIALISTA DE TURBINAS Y CALDERAS,4,2945,35340,245.42,31.25,0,0,276.67
ESPECIALISTA DE TURBINAS Y CALDERAS  ( S ),4,2100,25200,175,31.25,0,850,1056.25
COORDINADOR DE CONTROL DE COSTOS,5,2860,34320,238.33,31.25,0,0,269.58
OPERADOR ELÉCTRICO,3,2321,27852,193.42,31.25,0,0,224.67
ABOGADO,4,2321,27852,193.42,31.25,0,0,224.67
SUPERVISOR DE PRODUCCIÓN,5,2791,33492,273.29,31.25,488.43,0,792.97
SUPERINTENDENTE DE MANTENIMIENTO,6,5250,63000,437.5,31.25,0,0,468.75
INGENIERO DE SOPORTE DE AUTOMATIZACIÓN ( E ),4,1350,16200,112.5,31.25,0,149,292.75
INSPECTOR DE CONSTRUCCIONES ( E ),3,1653,19836,137.75,31.25,0,292,461
SUPERVISOR ELÉCTRICO ( E ),5,1664,19968,138.67,31.25,0,551,720.92
SUPERINTENDENTE DE CONSTRUCCIONES,6,5409,64908,450.75,31.25,0,0,482
SUPERVISOR DE PLANTA DE GENERACIÓN ( E ),5,2950,35400,245.83,31.25,0,3,280.08
COORDINADOR DE RELACIONES TÉCNICAS,5,4442,53304,370.17,31.25,0,0,401.42
INGENIERO DE CONFIABILIDAD,5,2575,30900,214.58,31.25,0,0,245.83
SUPERINTENDENTE DE MANTENIMIENTO,6,4930,59160,410.83,31.25,0,0,442.08
ANALISTA DE TI,3,1907,22884,158.92,31.25,0,0,190.17
TÉCNICO INSTRUMENTISTA,3,1250,15000,104.17,31.25,0,0,135.42
